source,url,title,company,location,salary_raw,salary_min,salary_max,salary_currency,posted_at,skills
itviec,https://itviec.com/it-jobs/hcm-senior-backend-engineer-ai-data-platform-one-mount-group-1930,(HCM) Senior Backend Engineer (AI/Data Platform),One Mount Group,Hồ Chí Minh,2000 - 3000 USD,2000,3000,USD,2026-06-26,"['Spring Boot', 'Java', 'Spring', 'Docker', 'Kubernetes', 'SQL', 'PostgreSQL', 'MySQL', 'MongoDB', 'Redis']"
itviec,https://itviec.com/it-jobs/hn-senior-expert-cloud-infrastructure-engineer-one-mount-group-1447,(HN) Senior/Expert Cloud Infrastructure Engineer,One Mount Group,Hà Nội,2500 - 3500 USD,2500,3500,USD,2026-06-24,"['Kali Linux', 'Linux', 'Kubernetes']"
itviec,https://itviec.com/it-jobs/net-developer-fe-credit-4225,.Net Developer,FE CREDIT,Hồ Chí Minh,1000 - 1400 USD,1000,1400,USD,2026-06-23,"['.NET', 'Microservices', 'Database', 'Web API', 'ASP.NET', '.Net Core', 'Angular', 'AWS', 'Azure', 'Docker', 'SQL', 'DevOps']"
itviec,https://itviec.com/it-jobs/middle-qa-qc-api-performance-testing-tester-sql-cong-ty-tnhh-dich-vu-gia-tri-gia-tang-goldengate-3750,"05 Middle Java Developer (Spring Boot, MySQL, MongoDB)",CÔNG TY TNHH DỊCH VỤ GIÁ TRỊ GIA TĂNG GOLDENGATE,Hà Nội,700 - 2000 USD,700,2000,USD,2026-06-16,"['Java', 'Unit test', 'SOLID Principles', 'MongoDB', 'MySQL', 'Spring Boot']"
itviec,https://itviec.com/it-jobs/10-fullstack-deverloper-java-spring-boot-angular-thien-hoang-solutions-jsc-1448,10 Fullstack Deverloper (Java/ Spring Boot/Angular),Thien Hoang Solutions JSC,Hà Nội,1200 - 1600 USD,1200,1600,USD,2026-06-12,"['Java', 'HTML', 'Spring Boot', 'Oracle', 'JavaScript', 'CSS', 'Angular', '.NET', 'C#', 'Docker', 'SQL', 'DevOps']"
itviec,https://itviec.com/it-jobs/20-java-backend-devs-spring-boot-hibernate-oracle-thien-hoang-solutions-jsc-4542,"20 Java Backend Devs (Spring Boot, Hibernate, Oracle)",Thien Hoang Solutions JSC,Hà Nội,1100 - 1900 USD,1100,1900,USD,2026-06-29,"['Java', 'Oracle', 'Hibernate', 'Spring Boot', 'MongoDB', 'MySQL', 'Python', 'Node.js', 'Go', 'AWS', 'Azure', 'Docker', 'Kubernetes', 'PostgreSQL']"
itviec,https://itviec.com/it-jobs/ai-agent-engineer-contract-build-the-agent-layer-panto-martech-llc-4955,AI Agent Engineer (Contract): Build the Agent Layer,Panto Martech LLC,Hồ Chí Minh,2500 - 4000 USD,2500,4000,USD,2026-06-01,"['AI', 'React', 'Python', 'Cloud', 'English', 'API', 'Go']"
itviec,https://itviec.com/it-jobs/ai-agent-engineer-python-llm-kds-vietnam-5513,"AI Agent Engineer (Python, LLM)",KDS Vietnam,Hồ Chí Minh,1300 - 1800 USD,1300,1800,USD,2026-06-19,"['AI', 'LLM', 'C#', 'Machine Learning', 'Python', '.NET', 'SQL']"
itviec,https://itviec.com/it-jobs/ai-engineer-machine-learning-llm-api-cluega-5211,AI Engineer (Machine Learning/LLM/API),CLUEGA,Hồ Chí Minh,"18M-65,5M",18000000,65500000,VND,2026-06-16,"['AI', 'Chinese', 'English', 'API', 'Machine Learning', 'LLM', 'Python', 'Docker', 'PostgreSQL', 'Redis']"
itviec,https://itviec.com/it-jobs/ai-engineer-dinh-huong-data-scientist-kalapa-1759,AI Engineer (Định hướng Data Scientist),KALAPA,Hà Nội,600 - 1300 USD,600,1300,USD,2026-06-24,"['Data Science', 'AI', 'Python', 'Machine Learning']"
itviec,https://itviec.com/it-jobs/ai-engineer-with-leading-korean-ai-entrepreneurs-abc-studio-viet-nam-4145,AI Engineer with Leading Korean AI Entrepreneurs,Abc Studio Việt Nam,Hồ Chí Minh,1000 - 2000 USD,1000,2000,USD,2026-05-29,"['Python', 'TensorFlow', 'PyTorch', 'scikit-learn', 'Pandas', 'NumPy']"
itviec,https://itviec.com/it-jobs/ai-powered-automation-engineer-itviec-recruitment-consulting-4219,AI-Powered Automation Engineer,ITviec Recruitment Consulting,Hà Nội,2000 - 2500 USD,2000,2500,USD,2026-06-23,"['Python', 'Power Automate', 'English', 'SQL']"
itviec,https://itviec.com/it-jobs/android-developer-middle-senior-up-to-3000-ingenico-vietnam-2441,Android Developer (Middle - Senior) - Up to $3000,Ingenico Vietnam,Hà Nội,1000 - 3000 USD,1000,3000,USD,2026-06-24,"['Android', 'Kotlin', 'Python', 'English', 'Java', 'Docker']"
itviec,https://itviec.com/it-jobs/application-developer-net-core-angular-vuejs-sql-cong-ty-co-phan-nha-ann-home-4417,"Application Developer (.Net Core, Angular, VueJS, SQL)",Công Ty Cổ Phần Nhà Ann Home,Hồ Chí Minh,800 - 1300 USD,800,1300,USD,2026-05-30,"['.Net Core', 'Git', 'API', 'SQL', 'VueJS', 'Angular', '.NET', 'Docker', 'Redis']"
itviec,https://itviec.com/it-jobs/associate-product-manager-simple-tech-investment-3213,Associate Product Manager,Simple Tech Investment,Hồ Chí Minh,700 - 1400 USD,700,1400,USD,2026-06-17,"['Product strategy', 'Agile', 'Business Analysis', 'Figma', 'Jira', 'Product Management', 'Go', 'QA']"
itviec,https://itviec.com/it-jobs/automation-framework-developer-python-robot-framework-lg-electronics-development-vietnam-lgedv-0427,"Automation Framework Developer (Python,Robot Framework)",LG Electronics Development Vietnam (LGEDV),Hà Nội,700 - 1500 USD,700,1500,USD,2026-05-29,"['Python', 'C++', 'Automation Test', 'Tester', 'English', 'Robot Framework']"
itviec,https://itviec.com/it-jobs/backend-developer-c-sql-shinhan-ds-0545,Backend Developer,SHINHAN DS,Hồ Chí Minh,Up To 35M,,35000000,VND,2026-06-23,"['C language', 'Linux', 'Oracle', 'JavaScript', 'SQL', 'HTML5', 'Swift']"
itviec,https://itviec.com/it-jobs/backend-developer-java-core-spring-securities-pinetree-securities-4943,"Backend Developer (Java Core, Spring, Securities)",Pinetree Securities,Hà Nội,1500 - 2300 USD,1500,2300,USD,2026-06-23,"['Java', 'JavaScript', 'Redis', 'Oracle', 'Spring', 'SQL']"
